Name,Street,Locality,Region,Postal_Code,Phone,Fax,Email
Mims & Company,1450 Highway 33,Pelham,AL,35124,205-837-5240,205-663-7609,montymims@msn.com
Milestone Realty,1815 Avenue D,Birmingham,AL,35218,205-703-0588,205-788-7050,maspurling@bellsouth.net
MC2 Realty,501 Riverchase Pkwy E,Birmingham,AL,35244,205-208-9911,,Ann@AnnMarch.com
Maximum One Realtor Partners,313 Jonesboro Rd.,McDonough,GA,30253,678-782-5050,678-782-5070,ming@maxonepartners.com
Maverick Properties,888 Nobles Road,Wetumpka,AL,36092,205-205-3294,205-978-4163,laura.mendez@yahoo.com
Maximum One Alabama Realtors,161-A West Main Street,Centre,AL,35960,256-523-8286,,realtornikki1@gmail.com
Matteson Appraisals,2209 Southpark Boulevard,Huntsville,AL,35803,256-650-1210,866-406-6610,terri_matteson@yahoo.com
Matthews and Associates LLC,4500 Katie's Way,Bessemer,AL,35022,205-434-4639,205-434-4928,sellitdanielle@gmail.com
Marshall Realty Group,2042 Beltline Rd. B101,Decatur,AL,35601,256-654-2402,,marshallrealtygroup1@gmail.com
"Marzette Realty, LLC",836 Lomb Avenue,Birmingham,AL,35211,205-203-4196,205-203-4195,Cynthia@MarzetteRealty.com
Marketplace Housing LLC,17197 Laurel Park Dr. N.,Livonia,MI,48152,800-331-0646,734-423-1700,michael.bone@marketplacehomes.com
"Mark Dunn Appraisals, LLC","1935 Hoover Court, Ste. 200",Hoover,AL,35226,205-365-5367,,mrkdunn@bellsouth.net
Maloy & Company Inc,2212 3rd Ave N,Birmingham,AL,35203,205-251-2185,205-254-0070,rmaloy@maloyco.com
"Main Street, REALTORS®",2 N Main Street,Cedartown,GA,30125,770-500-8443,888-596-1009,mike@mainstreetrealtyga.com
"Main Street Renewal, LLC",575 W Chandler Blvd Suite 120,Chandler,AZ,85225,205-271-0165,,slindahl@msrenewal.com
Mahogany Hills Real Estate,1801 Pinson Street,Tarrant,AL,35217,205-283-7525,205-849-8892,rowens@ojayfence.com
Magnolia Real Estate,2229 Magnolia Ave,Birmingham,AL,35205,205-326-0008,205-254-3116,XJDollarMan@aol.com
Magnolia Partners LLC.,1701 Oxmoor Road,Homewood,AL,35209,205-903-5007,,finder4homes@aol.com
Magic City Properties,529 suite104 Beacon Parkway W,Homewood,AL,35209,205-785-3095,205-785-3095,ralphsan3@gmail.com
Luna Beach Properties,"1240 Commerce Drive, Suite B",Gulf Shores,AL,36542,251-948-2645,877-471-2978,chris@lunabeachgroup.com
Lynn Russell Realty,3150 Cahaba Heights Road,Birmingham,AL,35243,205-967-4566,205-933-1916,russelyn@bellsouth.net
Luxury South Realty,"2105 Lornaridge Lane, Ste.149",Birmingham,AL,35216,205-983-6340,888-560-2763,sellksa@gmail.com
"Lucretia Cauthen Realty, LLC",200 A Deatsville HWY,Millbrook,AL,36054,334-285-2310,334-285-1330,ccauthenwd@aol.com
LPS,8230 Southport Terrace,Duluth,GA,30097,678-521-7987,,Laurie1106@yahoo.com
Lucky Realty of Alabama LLC,"13521 Old Highway 280, Suite 101-F",Birmingham,AL,35242,205-365-0058,,frankie@luckyrealtyofal.com
Lucas and Associates,"100 Chase Park S., Ste. 128",Hoover,AL,35244,205-733-4888,205-733-4883,lucasgroupllc@gmail.com
Lowe and Associates Realty Inc.,101 Mildred Street,Columbiana,AL,35051,205-669-6317,205-669-0101,majlowe@bellsouth.net
List With Freedom,6615 W Boynton Beach Blvd #172,Boynton Beach,FL,33437,855-456-4945,,ralph@listwithfreedom.com
ListedItMyself.Com Real Estate Group LLC,"200 West Side Square, Suite 801 Room #21",Huntsville,AL,35801,256-763-0860,,bobby.limrealestate@gmail.com
Local Realty,"1 Chase Corporate Drive, Ste. 400",Birmingham,AL,35244,000-000-0000,,millercompanyrealestate@gmail.com
"Lisa M. Hudson, R.E. Appraiser",1013 New Hope Road,Springville,AL,35146,205-914-4687,205-467-2167,lisashellhudson@aol.com
LIST Birmingham,"300 Union Hill Dr., Ste. 200",Birmingham,AL,35209,205-582-4060,866-593-4884,melvin@listbirmingham.com
Liberty Park Properties,"1000 Urban Center Drive, Suite 235",Vestavia,AL,35242,205-945-6401,205-945-6442,spate@libertypark.com
LGI Homes NC LLC,6024 Paw Village Rd,Charlotte,NC,28214,704-999-1457,,msceau@lgihomes.com
Lewis Realty Company,4000 Eagle Point Corporate Drive,Birmingham,AL,35242,205-716-2100,205-716-2101,ron@lewisrealtyco.com
Legacy Realty Group,1844 2nd Ave NW,Cullman,AL,35055,256-841-5657,256-841-5658,kelly@legacycullman.com
"Legacy Home Realty, LLC",4000 Eagle Point Corp. Drive,Birmingham,AL,35242,205-876-8004,205-800-5808,sales@legacyhomerealty.com
Landmark Birmingham,One Perimeter Park South 100N,Birmingham,AL,35243,205-547-0040,,Celena@BhamListings.com
Leading Edge Real Estate Birmingham,"105 Owens Pkwy, Ste B",Birmingham,AL,35244,205-968-1988,205-968-1986,jnt9664@gmail.com
Land & Home Realty Inc,5134 Hwy 61,Columbiana,AL,35051,205-915-9515,205-669-7493,home5134@yahoo.com
Lake Weiss AL Com Real Est,3545 Alabama Hwy 9,Cedar Bluff,AL,35959,256-557-6555,,cathygriffeth@gmail.com
Lake Wedowee Brokers,1104 Co Road 237,Roanoke,AL,36274,256-357-2484,334-460-3377,Teresa@LakeWedoweeBrokers.com
Lakeside Real Estate & Develop,4341 Co Rd 216,Hanceville,AL,35077,256-287-1112,256-287-1128,mmorefield@smithlakesales.com
Lakes & Land Realty,200 Avondale Drive,LaGrange,GA,30241,706-416-2687,,joefranknelson@gmail.com
Lake Homes Realty of Central Alabama,"15 Southlake Lane, Suite 200",Hoover,AL,35244,205-985-2991,205-682-7656,LHRbrokerAL@lakehomes.com
Lake Homes Realty of West Alabama,"15 Southlake Lane, Suite 200",Hoover,AL,35244,205-985-2991,205-682-7656,LHRbrokerAL@lakehomes.com
Lake Homes Realty LLC,15 SOUTHLAKE LANE SUITE 200 BIRMINGHAM AL,Birmingham,AL,35244,866-525-3466,,LHRBroker@lakehomes.com
Lake Homes Realty LLC,15 SOUTHLAKE LANE SUITE 200 BIRMINGHAM AL,Birmingham,AL,35244,866-525-3466,,LHRBroker@lakehomes.com
"Lake & Coast R E Co., LLC",502 Bank Street STE A,Decatur,AL,35601,256-280-3422,256-280-3422,trent@smithlakehouse.com
"LAH Real Estate, Inc.",2850 Cahaba Road,Birmingham,AL,35223,205-870-8580,205-870-8544,maurice@lahrealestate.com
Kris Brooks Appraiser,5246 Highway 78 E.,Birmingham,AL,35210,205-482-2434,,kris_brooks@landsafe.com
Krueger Properties,"1608 13th Ave S, Ste 231",Birmingham,AL,35205,205-930-0070,205-930-0701,jkrueger3604@charter.net
LAH - Hoover Branch,"2 Chase Corporate Dr, Suite 15",Birmingham,AL,35244,205-440-4740,205-877-0121,bradallen@lahrealestate.com
LAH - Mountain Brook Branch,"2850 Cahaba Rd, Suite 200",Birmingham,AL,35223,205-870-8580,205-870-8544,sold@lahrealestate.com
Kovakas Realty,Post Office Box 253,Westover,AL,35185,205-678-2441,205-678-8941,dkovakasrealty@bellsouth.net
LAH - Homewood,1760 Oxmoor Road,Homewood,AL,35209,205-879-8580,205-879-8599,sold2@lahrealestate.com
"K. Oliver & Associates, Inc.",800 Watterson curve suite 101,Trussville,AL,35173,205-903-9332,,kaoliver5719@charter.net
Knox Realty,1124 Main Street,Gardendale,AL,35071,205-285-8888,205-285-8889,Bryan@BryanKnox.net
"KMH Appraisal Services, LLC",PO Box 346,Springville,AL,35146,205-901-3293,,Kristen@KMHAppraisalServices.com
Knowles Realty,12585 Old Highway 280 Ste 104,Chelsea,AL,35043,205-618-9898,205-319-0596,info@knowlesrealty.com
Klassey Realty,"19941 Hwy 11, Suite E",Woodstock,AL,35188,205-938-3933,205-938-3998,leatheka@aol.com
Kitchens Realty & Appraisal,6332 Hwy. 77 South,Gadsden,AL,35907,256-442-5371,,Info@kitchensrealty.org
Kingdom Builders Real Estate,1100 E Park Drive,Birmingham,AL,35235,205-769-4391,205-520-9582,dannyrhodes@earthlink.net
Kidd Appraisals,P.O. Box 131178,Birmingham,AL,35213,205-410-9152,,kiddappraisals@yahoo.com
Killough Bailey Properties LLC,126 North Calhoun Avenue,Sylacauga,AL,35150,256-487-6366,,JPBailey91@hotmail.com
Key Realty Company LLC,429 Skyland Blvd Ste B1,Tuscaloosa,AL,35405,205-632-5137,205-632-5137,jtaggert81@yahoo.com
Kel Mitchell Real Estate,407 Franklin St. Suite 201,Huntsville,AL,35801,256-429-2599,,kelvinrealtor@gmail.com
keyco realty llc,1905 16th N,St Petersburg,FL,33704,407-906-7966,678-559-0739,offers@keyco.com
"Kelly Right Real Estate of Alabama, LLC","140 S. Arthur Street, #600",Spokane,WA,99202,509-489-7000,509-340-3514,jkelly@kellyright.com
Keller Williams Realty Tuscaloosa,"1490 Northbank Parkway, Suite 180",Tuscaloosa,AL,35406,205-759-3400,205-561-6979,nancypatrie@kw.net
Keller Williams Realty Huntsville,809 Shoney Drive Suite 108,Huntsville,AL,35801,256-519-7220,256-519-7242,klrw385@kw.com
Keller Williams Realty Group Jacksonville,11 Public Sq E,Jacksonville,AL,36265,256-644-5292,256-241-1519,amyangel@kw.com
Keller Williams Realty Atlanta Partners,354 Newnan Crossing Bypass,Newnan,GA,30265,770-252-2266,770-252-1216,frontdesk615@kw.com
Keller Williams Realty Blount,997 2nd Avenue East,Oneonta,AL,35121,205-274-7707,,carolynspain@kw.com
Keller Williams Madison,1593 Hughes Road Suite A,Madison,AL,35758,256-319-3700,256-319-3701,klrw782@kw.com
Keller Williams Realty Group,1805 Hillyer Robinson Pky.St.A,Anniston,AL,36207,256-241-1500,256-241-1519,SAbernathy66@gmail.com
Keller Williams Realty Trussville,219 Main Street,Trussville,AL,35173,205-661-0662,205-661-0342,LauraListsHomes@aol.com
Keller Williams Realty Hoover,1021 Brocks Gap Parkway Suite 125,Hoover,AL,35244,205-822-2272,205-822-2992,kathygipson@kw.com
Keith Davis Realty,1583 Hwy 77,Southside,AL,35907,256-442-9995,256-442-1747,keith@keithdavisrealty.com
Keller Williams Cullman,221 Compass Way,Cullman,AL,35055,256-841-6820,,amandaphillips@kw.com
Keller Williams Metro North,"651 Main Street, Ste. 147",Gardendale,AL,35071,205-694-0300,205-694-0311,klrw854@kw.com
Keller Williams Homewood,3040 Independence Drive,Birmingham,AL,35209,205-875-6959,,bbentleybroker@gmail.com
Kate Camryn Realty LLC,1960 Co Road 33 Suite C,Pelham,AL,35124,205-587-7463,,steve@katecamryn.com
"K & B Realty, LLC",2024 12th Avenue North,Birmingham,AL,35234,205-283-1497,,alisonfulps@gmail.com
Kate Camryn Realty LLC,1960 Co Road 33 Suite C,Pelham,AL,35124,205-587-7463,,steve@katecamryn.com
"JRC Realty Group, Inc.","181 West Valley Avenue, SUITE 114",Homewood,AL,35209,205-251-3022,205-251-3036,jrcrealty@att.net
"Josey, Young & Brady Realty, LLC",75 Jackson Street Ste 200,Newnan,GA,30263,770-683-1800,770-683-1801,jybrealty@jrbrealty.com
Joseph Realty,43 Chelsea Pointe Drive,Chelsea,AL,35043,205-678-7653,205-678-6869,gailowen@msn.com
Joseph Carter Realty,20240 County Road 222,Crane Hill,AL,35053,256-747-7459,256-747-7459,joeycarter416@gmail.com
JNG Real Estate Solutions,2100 Club Drive,Gadsden,AL,35901,256-504-5634,,jodi504@yahoo.com
John L. Wilkes Appraisal Services,1131 Kingswood Road,Birmingham,AL,35242,205-602-2082,,jwilkesbham@gmail.com
Jones Realty,111 20th Street N.,Pell City,AL,35125,205-884-1500,205-884-1501,jeff@jonesappraisal.com
JNG Real Estate Solutions,2100 Club Drive,Gadsden,AL,35901,256-504-5634,,jodi504@yahoo.com
"Jim LoBretto, Realtor",4201 Smokey Road Ste 102,Calera,AL,35040,205-230-6302,,jslob@live.com
J. Huggins Realty Inc,7824 Parkway Dr.,Leeds,AL,35094,205-699-5050,205-699-3933,jhuggrlty@yahoo.com
JMA Realty,"16 Office Park Circle, Ste. 14",Birmingham,AL,35223,205-267-6567,,smurfaw@netzero.net
Jacks REALTORS - South Bibb,909 University Way,Centreville,AL,35042,205-225-0045,205-225-0550,angelafstewart@aol.com
J B Kovakas Properties,204 East College Street,Columbiana,AL,35051,205-669-8500,,kovakas@mindspring.com
Jemison Realty Company 1,2937 7th Ave. S. Ste.106,Birmingham,AL,35233,205-250-0036,205-250-0037,jemisonre@aol.com
J. E. Clark Realty Company,2214 -3rd Avenue No. Ste 205,Birmingham,AL,35203,205-581-0903,205-581-0904,darleneclark@Bham.rr.com
Jacks REALTORS,88 Big Springs Rd,Woodstock,AL,35188,205-938-9993,205-938-0442,jdeejacks@yahoo.com
"Jack Fields Realty, LLC",1123 Main Street,Gardendale,AL,35071,205-478-3104,,JackFields1@yahoo.com
Jack L. Cotton Realty,729 Greenbrier Dear Rd.,Anniston,AL,36207,256-236-7900,,jackcottonrealty@cableone.net
IXL Real Estate Birmingham,1000 Hillcrest Road Suite B,Mobile,AL,36695,251-265-1230,321-248-0433,251homesearch@gmail.com
Pro Home Team Realty,323 Taylor Road,Remlap,AL,35133,205-427-7762,205-655-7762,prohometeamrealty@gmail.com
Pritchett Realty Company,1425 Hillcrest Road,Adamsville,AL,35005,205-798-5227,,MamaJ51@aol.com
"Realty 4U, Inc.",9212 Hurst Drive,Birmingham,AL,35206,205-854-5224,205-854-6956,realty4u@bellsouth.net
Realty 2000,PO Box 368,Harpersville,AL,35078,205-672-1900,205-672-1995,realty2k@bellsouth.net
Redstone Properties LLC,8009 Bethune pkwy,Trussville,AL,35173,205-837-9200,205-655-5826,scheerk@aol.com
"Rebecca & Company, LLC",21679 Highway 216,McCalla,AL,35111,205-477-0770,205-477-0778,jrebeccataylor@gmail.com
Red Realty Brokers,516 27th Street South,Birmingham,AL,35233,205-323-5009,205-323-5004,susanmarch60@gmail.com
Red Rock Residential Group,"1425 R.Arrington Blvd S, No. 100",Birmingham,AL,35205,205-324-3383,205-271-0160,tcarruthers@redrockrg.com
Residential Alabama Birmingham,181 West Valley Avenue,Birmingham,AL,35209,205-543-8040,205-562-3434,support@residentialalabama.com
Red Mountain Real Estate,"3595 Grandview Parkway, Suite 250",Birmingham,AL,35243,205-419-7000,,george@georgewjackson.com
Russell Realty & Associates,"8919 Hwy 119, Ste 107",Alabaster,AL,35007,205-358-3377,205-610-0098,russellrealtyal@gmail.com
Residential Alabama Birmingham,181 West Valley Avenue,Birmingham,AL,35209,205-543-8040,205-562-3434,support@residentialalabama.com
Realtysouth-Cullman,"309 13th Street, NE",Cullman,AL,35055,256-775-6620,256-775-6624,kwhaley@realtysouth.com
Sil-loH Metro Realty Brokers,524 Red Lane Road,Birmingham,AL,35215,205-838-1990,205-838-1996,silloh@bellsouth.net
Sierra Interactive,"1205 E Washington St, Ste 110",Louisville,KY,40206,651-529-1222,,rets@sierrainteractive.com
Sierra Interactive,"1205 E Washington St, Ste 110",Louisville,KY,40206,651-529-1222,,rets@sierrainteractive.com
Showcase Technologies,1526 Independence,Cape Girardeau,MO,63701,888-882-1259,,tom@showcasetech.net
Signal Property Services,"2727 19th Place S, Suite 100-B",Birmingham,AL,35209,205-306-5616,,frankie@signalrents.com
Shoal Creek Realty,604 Main Street,Montevallo,AL,35115,205-567-9659,,JANICEFAYESEAMAN@GMAIL.COM
Shoal Creek Properties,103 Carnoustie,Birmingham,AL,35242,205-991-4653,205-991-7112,gthompson@shoal-creek.com
Stanley Appraisals,2645 Chandafern Circle,Pelham,AL,35124,205-960-6472,,Frank@StanleyAppraisals.com
SRE Technologies,17550 N Perimeter Dr Ste 250,Scottsdale,AZ,85255,480-630-9073,,jon.hill@sre.com
SRE Matrix (Alabama) LLC,"17550 North Perimeter Drive, Ste. 250",Scottsdale,AZ,85255,404-710-3296,505-431-7704,coleyproperties@gmail.com
SR Appraisals,560 Highway 315,Columbiana,AL,35051,205-669-5213,866-275-6199,srappraisals@earthlink.net
"Spruce Properties, LLC",2906 Commerce Square Soiuth,Irondale,AL,35210,205-368-8364,205-967-9191,joewillee@aol.com
Sperry CGA The Andrews Group,"600 Vestavia Parkway, SUITE 251",Vestavia Hills,AL,35216,205-451-8889,,keith.andrews@sperrycga.com
Spartan Realty LLC,"2015 3rd Avenue, North",Birmingham,AL,35203,205-202-4118,205-409-0531,ljackson@spartaninvest.com
"Spann Real Estate, Inc",320 Bankhead Hwy,Winfield,AL,35594,205-487-6536,205-487-6925,spannrealestate@hotmail.com
"Southpace, Inc.","300 R.Arrington Blvd N,Ste 900",Birmingham,AL,35203,205-326-2222,205-251-4753,wmcdavid@southpace.com
"Southland Appraisal Services, LLC",1111 Mooty Bridge Road,LaGrange,GA,30240,706-845-2727,,harris.satterfield@coldwellbanker.com
Southern States Realty-Central,812 Airport Road South,Jasper,AL,35501,205-221-6960,205-221-5785,jhgraham3@bellsouth.net
South Home Realty,206 Main Street,Roanoke,AL,36274,334-863-2244,334-863-2242,lindaFMail@gmail.com
Southern Living Realty,"153 Narrows Parkway, Ste. 103",Birmingham,AL,35242,205-408-6033,205-408-8740,aym2020@gmail.com
Southern Link Realty LLC,511 Creekside Court,Helena,AL,35080,205-566-7900,,office@southernlinkrealty.com
Southern Homes Realty,2550 Decatur Highway,Gardendale,AL,35071,205-631-2785,205-631-5582,kaclemons@aol.com
"Southern Belle Realty, LLC",2224 Old Markeeta Road,Moody,AL,35004,205-884-2300,205-884-2301,bonnievsellshomes@gmail.com
Southeast Property Services,"3535 Grandview Pkwy, Ste 350",Birmingham,AL,35243,205-249-2234,205-449-7276,SouthEastPropertyServices@gmail.com
"Southeastern Land Group, Inc.",16396 Hwy 280 West,Dadeville,AL,36853,256-825-4331,256-825-4332,info@selandgroup.com
Southeastern Realty & Auction,104 S Main St,Wedowee,AL,36276,256-357-4400,256-357-4402,jake@southeasternrealty.net
Southeastern Estates LLC,16396 Highway 280 West,Dadeville,AL,36853,334-467-1830,,william@southeasternestates.com
Southeast Commercial Management LLC,714 29th Street South,Birmingham,AL,35233,205-623-0055,205-378-3347,shuner@southeastcommercial.net
S.O.O.F Realty,47 Park Rd,Pleasent Grove,AL,35127,205-587-2370,,yvanrc@yahoo.com
Smarter Agent Mobile,756 Haddon Avenue,Collingswood,NJ,08108,856-481-2150,,data@smarteragent.com
Smith Lake Rentals and Sales,3176 Cahaba Heights Road,Birmingham,AL,35243,800-769-0757,,jeff@smithlakerentals.com
Sold South Realty,4501 PINE TREE CIRCLE SUITE 220,Birmingham,AL,35243,205-637-5400,,soldsouthrealty@gmail.com
Sky High Realty,241 W. Bankhead Hwy,Villa Rica,GA,30180,770-456-2667,,skyhighrealtyservices@gmail.com
Simpson Properties Group,4650 Griffith Marina Road,Orange Beach,AL,36561,251-942-5965,251-650-1331,mike@simpsonpropertiesgroup.com
SmallTown Realty,2309 Hwy 78,Heflin,AL,36264,256-463-4663,256-463-4665,cwcochran@earthlink.net
Sirman's Realty,1518 Bessemer Road,Birmingham,AL,35208,205-923-6300,205-925-7777,Robyn_lyanna@yahoo.com
Silver Real Estate,242 Inverness,Eclectic,AL,36024,850-259-6775,,bkjames11@gmail.com
Shirley James Realty LLC,149 Oak Drive,Lincoln,AL,35096,205-441-8298,,shirleyjames70@yahoo.com
Shannon Waltchack Management,120 18th Street South,Birmingham,AL,35233,205-977-9797,205-977-9793,dw@shanwalt.com
Shader Realty,2911 Cresent Avenue,Birmingham,AL,35209,205-942-1077,205-942-7235,amyshader@aol.com
RealtySouth-Chilton II,2003 7th Street North,Clanton,AL,35045,000-000-0000,,bamalandlady@gmail.com
RealtySouth-Chilton II,2003 7th Street North,Clanton,AL,35045,000-000-0000,,bamalandlady@gmail.com
RealtySouth-Bldr & Developer,"3170 Hwy 31 South, Ste 312",Pelham,AL,35124,205-663-3895,205-663-5603,sunderwood3631@gmail.com
RealtySouth-Chilton Office,1500 7th St N,Clanton,AL,35045,205-755-7719,205-755-7858,pbingham@realtysouth.com
RealtySouth-Auburn Lake Martin,"2408 E UNIVERSITY DRIVE, SUITE 111",AUBURN,AL,36830,334-466-2980,,smccollum@realtysouth.com
RealtySouth-Admin Office,"2501 20th Pl So., Ste 400",Birmingham,AL,35223,205-322-7500,205-325-1394,Jimdye@realtysouth.com
"Realty Source, LLC",PO Box 52,Columbiana,AL,35051,205-669-3200,205-669-7800,kmrm222@aol.com
RealtySource,426 Martin Street South,Pell City,AL,35128,205-222-2829,,realtysource@icloud.com
"Realty Solutions Group, LLC",120 Bishop Circle,Pelham,AL,35124,205-705-5706,,lcrase06@yahoo.com
Rudy James Realty,"500 Southland Dr, Suite 212",Birmingham,AL,35226,205-823-7130,205-823-7486,officessouth@yahoo.com
ROPA IDX,NULL,Null,NY,12345,205-111-1111,,john.edward@mac.com
Rudulph Real Estate,P.O. Box 661286,Vestavia,AL,35266,205-879-4691,205-871-1988,rudy@rudulphrents.com
"RSC Properties, LLC",11 Office Park Circle,Birmingham,AL,35223,205-552-6127,205-967-6383,rcrayne@rscproperties.com
"Ron Prince Realty, LLC",1741 Jefferson Avenue SW,Birmingham,AL,35211,205-222-8774,,ronprince00@gmail.com
Ronald S. Foster Co. Inc.,4562 Lawrenceville Hwy NW,Liburn,GA,30047,770-279-1402,770-279-1495,fosterco@bellsouth.net
Roma Realty Inc.,P O Box 100,Remlap,AL,35133,205-680-3111,205-680-5893,romacater@yahoo.com
"Roger M Pugh, Appraiser","5707 Belmont Pl, Irondale, Al",Irondale,AL,35210,205-410-5269,,rmpugh@bellsouth.net
Scotch Real Estate Company,110 Scotch Drive Suite 101,Birmingham,AL,35242,205-991-5075,205-995-8441,joe@scotchcompanies.com
Selective Realty LLC,211 B Yeager Pkwy,Pelham,AL,35124,205-266-3000,205-970-1655,ccgivianpour@gmail.com
Rocket Homes Real Estate LLC,701 Griswold Street,Detroit,MI,48226,800-980-5022,,brokerinfo@inhouserealty.com
SeBro Realty,2861 Brooklane Drive,Hueytown,AL,35023,205-436-8301,205-436-8302,pamsegarsmorris@gmail.com
Semaan Realty,3146 Green Valley Road,Birmingham,AL,35243,205-970-8595,205-970-8596,jrsemaan@charter.net
Scotch Homes Inc.,506 Williow Branch Circle,Chelsea,AL,35043,205-980-3477,205-278-5877,scothchomes@yahoo.com
SB Dev Corp,3545 Market Street,Birmingham,AL,35226,205-989-5588,205-989-8884,srohrer@e-signaturehomes.com
Sanders Trust LLC,"1000 Urban Center, Ste. 675",Birmingham,AL,35242,205-298-0809,205-298-0810,dbaylot@sanderstrust.com
"Sayco Capital Group, Inc.","1048 Irvine Avenue, No. 609",Newport Beach,CA,92660,949-933-7763,949-480-1661,cinman@saycocapital.com
"Sand Castle Realty, Inc.",20078 Brinks Willis Road,Foley,AL,36535,251-968-4137,,theboss@sanderson-realty.com
R Ware Realty LLC,316 42nd Ave NE,Birmingham,AL,35216,205-701-1880,,realtor_rware@charter.net
RE/MAX Central Prop-Branch 1,906 7th Street South,Clanton,AL,35045,205-280-7500,205-280-7544,droberson@remax.net
RE/MAX Advantage North,"1326 Main Street, Ste. 104",Gardendale,AL,35071,205-608-8126,205-608-8076,realtykeith@gmail.com
RE/MAX Advantage South,"2635 Valleydale Rd, Ste 200",Birmingham,AL,35244,205-991-1500,205-991-9828,asharpe@remax.net
"Reliance Realty, LLC",950 Hwy 431,Roanoke,AL,36274,334-863-2161,334-863-2162,RelianceAppraisal@yahoo.com
"Reliance Realty, LLC",108 W. Point St.,Roanoke,AL,36274,334-863-2161,334-863-2162,elyssajohnson0919@gmail.com
"Reliance Realty Groups, LLC","2700 Corporate Drive, Suite 200",Birmingham,AL,35242,205-968-1235,205-968-1237,reliancerealtygroups@gmail.com
RE/MAX Advantage,2964 Columbiana Rd,Birmingham,AL,35216,205-979-9854,205-979-2558,robertbartonscott@gmail.com
RELIANCE NETWORK,"17040 PILKINGTON RD, STE 310",LAKE OSWEGO,OR,97035,877-231-3209,,AMY@RELIANCENETWORK.COM
Relfe-Welden Real Estate,2102 Cahaba Road Suite D,Mountain Brook,AL,35223,205-879-8787,205-879-1199,annrelfe@yahoo.com
Regional Services of Alabama,903 Montgomery Highway,Birmingham,AL,35216,205-979-8500,205-979-8414,davidemory@remax.net
Robinson Real Estate,2101 4th Avenue South Ste 200,Birmingham,AL,35233,205-986-3777,205-981-1545,rre-al@robinsonrealestate.com
"Robert G. Andrews, SRA",300 Office Park Drive,Birmingham,AL,35223,205-527-8979,205-278-8784,AppraiserBob@aol.com
RMI Realty Group,3125 Green Valley Road,Birmingham,AL,35243,205-968-3803,,Scott@rmirealtygroup.com
Revival Real Estate,"2637 Valleydale Road, Ste 200",Hoover,AL,35244,205-601-7900,,jody@jodygann.com
"River Region Realty Group, LLC","445 Dexter Ave., Suite 4050, Trey Sippial",Montgomery,AL,36104,334-557-7060,334-557-7061,info@riverregionrealtygroup.com
R.E.U.,1919 Oxmoor Road #267,Homewood,AL,35209,205-470-6725,,ddionne2020@aol.com
ResiRealty,"3630 Peachtree Road NE, Suite 1500",Atlanta,GA,30326,407-467-4045,,jgoodman@resicap.com
Residential Alabama Tri-County,4201 Nordale Dr.,Montgomery,AL,36116,334-424-3100,,towannahsmith@gmail.com
Residential Alabama LLC,9424 Baymeadows Road Suite 110,Jacksonville,FL,32256,205-543-8040,334-239-4437,sales@residentialalabama.com
RE/MAX Preferred,"2 Office Park Cir., Ste. 5",Birmingham,AL,35223,205-879-7665,205-879-1551,hamorrow@gmail.com
RE/MAX Metro South,1 Independence Plaza Ste. 422,Birmingham,AL,35209,205-508-2800,,FrankPhillips@remax.net
RE/MAX Northern Properties,1720 Decatur Hwy,Gardendale,AL,35071,205-631-9892,205-418-1010,linda.willis@remax.net
RE/MAX Marketplace,7145 Happy Hollow Rd. Ste. 100,Trussville,AL,35173,205-661-0811,205-661-0814,office@trussvillemarketplace.com
Re/Max In House IDX,5075 S. Syracuse St,Denver,CO,80237,303-796-3610,,mls@seventy3.com
RE/MAX Lakefront,20755 Highway 431,Wedowee,AL,36278,256-357-4444,256-357-2277,lakefrontwedowee@gmail.com
R. Jay Collins & Co.,"One Perimeter Park South, Ste. 100 N",Birmingham,AL,35243,803-517-8083,,rjcappraisal140@gmail.com
RE/MAX Hometown Properties,30 Comer Ave,Pell City,AL,35125,205-338-7355,,mike@hometownproperties.com
RE/MAX Elite,"1811 Hwy 78 E, Ste 104",Jasper,AL,35501,205-221-8822,205-221-7766,dabbott.goins@hotmail.com
RE/MAX First Choice,201 Amphitheater Rd,Pelham,AL,35124,205-663-4402,205-620-0196,remax@firstchoiceal.com
Renters Warehouse LLC,2151 Highland Avenue Suite 110,Birmingham,AL,35205,205-730-3242,,anorman@renterswarehouse.com
RE/MAX Wired,211 South Quintard Avenue,Anniston,AL,36201,256-405-1055,256-459-7041,tan@tanakles.com
RE/MAX Unlimited,37 Hughes Rd Ste A,Madison,AL,35758,256-327-7600,256-461-4053,remaxunlimitedmadison@gmail.com
RE/MAX TOWN AND COUNTRY,118 CHURCH ST. SUITE 1,RAINBOW CITY,AL,35906,256-459-5959,256-459-5979,mitchellcoleman55@gmail.com
RE/MAX Results,833 New Franklin Road,LaGrange,GA,30240,706-845-7000,706-845-7225,rmrs3.1510@hotmail.com
RE/MAX Southern Homes-280,110 Inverness Corners,Birmingham,AL,35242,205-313-8500,205-313-8501,southernhomesrealestate@yahoo.com
RE/MAX Realty Brokers,5588 Apple Park Dr,Birmingham,AL,35235,205-856-5050,205-856-8788,kentjones@remax.net
"Red Hills Realty, LLC",300 Union Hill Dr. Ste. 200,Birmingham,AL,35209,205-871-2556,205-868-9109,amym@redhillsrealtyllc.com
Redfin Corporation,324 Commons Drive,Birmingham,AL,35209,205-208-9967,205-533-9928,ben.price@redfin.com
